;직무내용;모집직종;관련직종;전공;자격면허;외국어능력;병역대체 복무자채용;고용허가제;우대조건;컴퓨터 활용능력;기타우대사항;작업환경;sqlp;a;b;c;d;e;f;g;h;i
*  개발 흥미 없거나,  분석 하고 싶지 않거나 사고 하기 싫으신 분은 죄송하지만 지원은 보류 해 주세요.";응용소프트웨어개발자;C언어및그외프로그래밍언어전문가;;관계없음;;비희망;;차량소지자,운전면허증;;"-시간선택제로 근무 합니다 (7시 ~ 4시, 8시 ~5시, 9시 ~6시, 10시 ~7시)
-회사내 휴게실
-스넥바
-원두커피머신";;False;False;False;False;False;True;True;False;False;False

8;"- 스마트팩토리구축
- MES/POP SYSTEM 개발
- WMS(창고관리시스템) 개발
- 선박부품업 ERP 개발";응용소프트웨어개발자;범용응용소프트웨어프로그래머(ERP,정보처리,재무관리등),웹개발자(웹엔지니어·웹프로그래머);전산학·컴퓨터공학(학과:전자계산학부)응용소프트웨어공학(학과:컴퓨터소프트웨어ㆍ정보통신전공);정보처리기사(우대),정보처리산업기사(우대)기타:기타자격증;;비희망;;운전면허증;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;True;False;False;False;False;False;False;False;False

9;"펌웨어 엔지니어
펌웨어 개발 및 연구";펌웨어및임베디드소프트웨어프로그래머;;전자공학(학과:공과대학전기전자공학전공)전기공학(학과:전자전기공학부전기공학전공);전자기사(우대),전기기사(우대);;비희망;;운전면허증;문서작성 (워드프로세스 활용);;;False;False;False;True;False;False;False;False;False;False

10;"1. 모집분야
   . 웹 개발자(웹 엔지니어, 웹 프로그래머)
2. 담당업무
  ㆍ웹 개발(웹 프론트 및 백앤드 개발)
   . 국가기관 플랫폼 개발 및 구축
  ㆍ빅데이터 기반 디지털 정보시스템 개발 및 구축
  ㆍ고객사 웹사이트 및 백오피스 개발 및 유지보수
3. 우대사항
   . JAVA, JSP, Ajax, Json, Jquery, Node.js, Spring/Eclipse 경험
  ㆍHTML / CSS / Javascript / Jquery를 이용한 UI개발 경험자
  ㆍ웹표준/ 웹접근성 / 크로스브라우징 및 CSS Animation 활용경험자
  ㆍWeb, Mobile, 반응형, 모바일 웹앱 작업에 대한 경험자
  ㆍ기타 프로그램개발 유관업무 경력자
  ㆍ관련 자격증 보유자
  ㆍ전산학·컴퓨터공학, 응용소프트웨어공학
  ㆍ HTML, CSS 웹퍼블리싱을 위한 이해가 있으신 분
  ㆍ 기획 의도에 대해서 이해능력이 높으신 분
4. 공통사항
    - 개발실무경력 5년 이상 자
    - 해외여행에 결격사유가 없는 자
    - 급여 : 사내규정에 따름(경력자 면접 시 임금협의)";웹개발자(웹엔지니어·웹프로그래머);JAVA프로그래밍언어전문가;전산학·컴퓨터공학(학과:컴퓨터공학부(웹응용공학전공))응용소프트웨어공학(학과:컴퓨터소프트웨어학전공);관계없음;;비희망;;;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;관련학과 전공자 우대, 관련 자격증 소지자 우대;;False;False;False;False;False;True;True;True;True;False

11;"*업무: 자사 서비스 중인 기업용 법무관리 솔루션의 운영담당 업무
 - 운영 중인 시스템에 대한 버그 수정 업무 및 개선 
 - 서포트 전용 메일/전화 등을 통한 support 담당
* 우대조건: 3년 경력
*주5일, 10시~17:30(1일 6.5시간 근무)
*임금: 연봉3000만원~3200만원
*3개월 계약 후 정규직 전환";웹운영자(홈페이지관리자);;;관계없음;;비희망;;;;;;False;False;False;False;False;False;False;False;False;False

12;"# 임상, 비임상 시험관련 데이터 인터페이스를 위한 소프트웨어 개발
# 주요 프레임워크(Spring Boot, JPA, Thymeleaf 등)을 이용한 웹 애플리케이션 개발 경험(React 개발 가능자 우대)
# RESTful API 개발 및 Open API 를 활용한 외부 연동 경험자 우대
# 관계형 데이터베이스를 사용한 프로젝트 경험 (ex: MS-SQL, Oracle 등)
# 소스 코드 관리 도구 Git 사용 경험
# 적극적으로 새로운 기술과 플랫폼에 적응하는 능력
# 시스템 요구사항 정의, 기능 추가, 수정, 삭제 등을 위한 적절한 기능 개발 순서 정의 경험
# Java, Spring Boot, Freemarker 가능자
# Spring Security, Spring Data JPA, QueryDSL, mYbATIS 경험자 우대
# ASP.NET CORE MVC (C#)
# Entity Framwork Core5
# MS-SQL (SQL, Procedure)
# DevExpress(Devextreme), Git 사용가능자 우대
# HTML, CSS, javascript";웹개발자(웹엔지니어·웹프로그래머);;;관계없음;;비희망;;;;"임직원 복지포인트 지급(현대웰트리복지몰) - 년 20만원,
임직원 자기개발(체력단련비)지급 - 매월 5만원이상,
전공관련 도서구입비 지원(전공 및 자격증 관련서적),
교육비 지원(전공관련 온,오프라인 강의 수강료 전액),
경조휴가 지원,
경조사 조화, 화환 지원)";;False;False;False;False;False;True;True;True;True;False

13;"-당사는 현대제철 협력사로 현대제철의 프로그램 일부를 개발 및 운영 유지보수 업무를 하고 있습니다.
-이번에 프로그램 개발 관련C#, C++, .NET 프로그램 사용 경력자 채용합니다.(3년 이상자)
-경력별 연봉 협의후 결정";응용소프트웨어개발자;;;정보처리기사(우대);;비희망;;;;;;False;True;False;False;False;True;False;False;False;False

14;LED전광판 소프트웨어 프로그램 개발자;C언어및그외프로그래밍언어전문가;JAVA프로그래밍언어전문가;;정보처리기사(우대),정보통신기사(우대);;비희망;;;;;;False;True;True;False;False;False;False;False;False;False

15;"(회사소개)
㈜셀빅은 2004년에 설립된 회사로 자본금 7억원, 매출액 102억, 사원수 57명 규모의 고용노동부에서 선정한 강소기업입니다. 서울 성동구 성수동1가에 위치하고 있으며, 정보통신공사업, 시스템 네트워크통합, 인터렉티브콘텐츠, 기능성 게임, AR/MR, 인공지능을 하고 있습니다.
(모집분야)
응용기술개발부  JAVA 웹개발자 1명
(담당업무)
- 서비스 및 관리자 페이지 개발
- Java, Spring 프론트/백엔드 개발 및 유지 보수
- 데이터베이스 설계 및 구축
(자격요건)
- Java, spring, node.js, tibero, mysql, linux
(우대사항)
- 풀스택개발자 , tibero 경험자, 보안관련 경험자
(회사복지)
ㆍ점심식사 제공
ㆍ오전 8:00~10:00 시차출근제
ㆍ사무실 스낵바 구비
ㆍ야근 없는 개발문화 지향";웹개발자(웹엔지니어·웹프로그래머);;;관계없음;;비희망;;장애인,보훈취업지원대상자;문서작성 (워드프로세스 활용),프레젠테이션 프로그램 활용;;작업장소:실내드는힘:5Kg이내의물건을다룸서거나걷기:서거나걷는일거의없음듣고말하기:간단한듣고말하기필요시력:아주작은글씨를읽을수있는정도손작업:정밀한작업양손사용:한손으로보조하는작업;False;False;False;False;False;False;True;False;False;False

16;"<<달성고용센터 채용대행서비스 참가업체>> 
* 업체명: (주)영인이엔지 (달성군 유가읍)  
* 문의: 달성고용센터 차선미 (053-605-9544) 
* 모집직종: 3D설계 기술자 모집 
* 업무내용: 판금 기구물 설계
* 자격요건: 남여무관 / 해당업무 경력 3년이상자 / CAD  능통하신 분 우대 
* 근무여건: 연봉 3천9백만원 (경력에 따라 임금협의가능) / 주5일근무
* 제출서류: 이력서, 자기소개서 각 1부.
* 제출방법: 업체명 ★ (주)영인이엔지  검색 후 -> 워크넷 입사지원하기 클릭하여 지원
  ☞(잠깐) 입사지원하기 클릭 전 나의 이력서에 경력, 자격증 등 추가사항이 
           있다면 수정 후 지원하여 주세요~!";기계·금속제도사(캐드원);데이터설계및프로그래머,기계공학기술자및연구원;;관계없음;;비희망;;;;;;False;False;False;False;False;True;False;False;False;False

17;"담당업무
ㆍWEB / APP 프론트 개발 (IOT 디바이스와 데이터 연동형 콘텐츠 APP)
ㆍWEB / APP 디자인";웹개발자(웹엔지니어·웹프로그래머);;기타디자인(학과:웹디자인학과)응용소프트웨어공학(학과:임베디드소프트웨어학과);관계없음;;비희망;;;;"ㆍ HTML, CSS, TypeScript 사용하여 페이지 구성 및 개발이 가능
ㆍAngular 사용 경험이 있거나 개발이 가능
ㆍTypeScript 사용 경험이 있거나 개발이 가능
ㆍRESTful API에 대한 기본 지식과 이해";;False;False;False;False;False;False;False;False;False;False

18;"[전산 파트]
1. 모집인원 : 전산 분야 자격증 소지자 및 경력자 1명
2. 근무시간 : 09시~18시 / 격주 5일 근무
3. 근무조건 
 - 면접 후 임금 협의
 - 연령/성별 무관
4. 우대사항
 - 전산 관련 자격증 보유자
 - 관련 학과 전공 또는 호텔 전산 유경험자
 - 대구 외 거주자 기숙사 제공";IT기술지원전문가;네트워크관리자(클라우딩컴퓨터운영관리자);;정보처리기사(우대);영어(중);비희망;;;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용);;;False;True;False;False;False;False;False;False;False;False

19;"DANBI Service는 매장의 공유기를 설치하여 매장 내 방문객을 측정하고 이를 바탕으로 하는 고객관리서비스를 
말합니다. 현재 던킨, 파리바게트, 베스킨라빈스 등을 포함한 총 7,000여개 매장에서 운영되고 있습니다.
단비는 미국 및 국내에서 투자를 받았으며 작년 연말 TIPS프로그램에도 선정된 팀이고,
최근 Series A Funding도 Closing되었습니다.
이와 관련하여 당사가 운영하는 캐시파이 서비스의 기획을 맡아주실 분을 모시고 있습니다.
*참여 가이드*
1. 함께하고 싶은 파트너
• 고객들에게 더 나은 하루, 더 나은 삶을 제공하는 단비의 미션에 공감하는 사람
• 자기 주도적이며 결과 지향적으로 일하는 사람
• 업무와 함께 성장 할 수 있는 사람
• 데이터 기반으로 설득하고 소통하는 사람
2. 우리가 일하고 싶은 방법
• 문제 정의가 가장 중요
• 단비는 시장에서 실험하는 과정을 통해 계속 배우고 성장하는 조직
• 생각은 짧게, 실행은 빠르게.
• 빠르게 실험하고, 데이터로 배우자.
3. 중요하게 생각하는 가치
• 최고의 복지는 스스로 결정하는 업무 ‘환경‘과 도전하고 실패할 수 있는 ‘기회‘이다.
• 치열하게 토론하고 비판하지만, 그 전제는 목표 달성과 동료의 성장을 위한 ‘선의’임을 확인한다.
• 나는 좋은 동료임을 확인하자, 우린 언제든 주저 없이 도움을 요청하고 조언을 구할 수 있다.
4. 채용과정
서류 전형 ＞ 기술 면접 ＞ 컬처핏 면접
5. 주요업무
1) UX 설계
2) 서비스 운영 정책 정의 및 운영
6. 자격요건
- Figma 및 Photoshop 이용
- 우리가 부족한 부분을 면밀히 파악하고, 이를 메꾸기 위해 사람들과 Communication
- 본인의 성장을 위해 끈임없이 문제를 정의하고 나름대로 그 문제를 해결해 보고 싶으신 분
- 그리고 그 과정에서 함께 문제정의 및 솔루션등을 함께 고민을 하실 준비가 되신 분
- 집요하고 궁금해하고, 무언가를 해보지 않고는 직성이 안풀리시는 분
7. 근무지원
• 장비지원
• 샌드위치 휴일 무조건 연차사용가능.
• 유연출퇴근 근무제";UX/UI디자이너;웹기획자;;관계없음;;희망(보충역대상자/산업기능요원);;;기타(Figma 활용);;;False;False;False;False;False;True;False;False;False;False

20;"★반드시 전산학과 전공자만 지원 바랍니다.★ 
각 대학교 산학협력단 연구관리시스템 및 
병원 e-IRB 시스템 개발 및 유지보수, DB관리, 운영서버 관리 업무.
정보처리기사 및 관련 자격증 소지자.
경력증명서 필수.";범용응용소프트웨어프로그래머(ERP,정보처리,재무관리등);시스템소프트웨어개발자(프로그래머),응용소프트웨어개발자;전산학·컴퓨터공학정보·통신공학;정보처리기사(필수),정보처리산업기사(우대)기타:정보처리기능사;;비희망;;;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용,회계프로그램;"이력서
자기소개서
경력증명서 (필수)
자격증사본";;False;True;False;False;False;False;False;False;False;False

21;"독일 담당자와 업무연락
국내 Extend3d 장비 영업지원
Extend3d 장비 DEMO
Extend3d 장비 설치교육
Extend3d 장비 고객관리 및 상담
http://www.extend3d.co.kr 참조";컴퓨터시스템전문가;무역사무원(영어),기타기술영업·중개종사원;기계공학(학과:기계.정밀기계.기계설계.자동차공학과군)제어계측공학(학과:시스템제어공학부);관계없음;영어(상);비희망;내국인구인노력기간이후고용허가제대상외국인채용예정;(준)고령자(50세이상),장기복무제대군인,고용촉진장려금대상자,차량소지자,운전면허증;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;"- 자동화 기계 설치 써비스 유경험자 우대
- 근면 성실하고 장기 근속 근무 가능한 유능한 인재
- 자차 운전자 우대
-영어 능통자 우대";;False;False;False;False;False;True;False;False;False;False

22;"■ 담당업무
-화면설계, 스토리보드 작성
-기획서,보고서,제안서 작업
-고객사 및 내부 커뮤니케이션 등
-스케줄 관리 및 이슈 관리
■ 근무시간
자율출퇴근제 도입 및 운영(출근시간 8:00~10:00 / 퇴근시간 17:00~19:00)
■ 임금
경력에 따라 협상 및 조율 가능
■ 참고
제출한 지원 서류 및 인터뷰 시 언급 내용 중 허위 사실이 있는 경우 합격이 취소될 수 있음
모든 채용 절차는 자사의 취엽규칙, 근로기준법 및 관련 법규에 따라 진행되고 있음
채용일로부터 3개월 시용 기간 있음. 평가 후 정규직 전환 여부 결정
시용 기간 동안 역량 및 업무 능력이 부족하다고 판단될 경우 본 채용을 거부할 수 있음
프로젝트 사정에 따라 근무 장소가 변경될 수 있음";웹기획자;;;관계없음;;비희망;;;;;;False;False;False;False;False;False;False;False;False;False

23;"■ 담당업무
- PC/MOBILE 웹 사이트 퍼블리싱
- 운영 사이트 UX/UI 개선
- 다양한 인터랙션, 모션 구현
■ 근무시간
자율출퇴근제 도입 및 운영(출근시간 8:00~10:00 / 퇴근시간 17:00~19:00)
■ 임금
경력에 따라 협상 및 조율 가능
■ 참고
제출한 지원 서류 및 인터뷰 시 언급 내용 중 허위 사실이 있는 경우 합격이 취소될 수 있음
모든 채용 절차는 자사의 취엽규칙, 근로기준법 및 관련 법규에 따라 진행되고 있음
채용일로부터 3개월 시용 기간 있음. 평가 후 정규직 전환 여부 결정
시용 기간 동안 역량 및 업무 능력이 부족하다고 판단될 경우 본 채용을 거부할 수 있음
프로젝트 사정에 따라 근무 장소가 변경될 수 있음";웹개발자;;;관계없음;;비희망;;;;;;False;False;False;False;False;True;False;False;False;False

24;"채용 직급 : 대리급이상
담당업무 : 정보시스템 개발
보유기술 : JAVA, 전자정부FW, Spring Boot";웹개발자(웹엔지니어·웹프로그래머);JAVA프로그래밍언어전문가;전산학·컴퓨터공학(학과:컴퓨터공학계열)응용소프트웨어공학(학과:IT정보공학부(소프트웨어공학전공));관계없음;;비희망;;;;"정보처리기사 등 정보시스템 관련 자격자 우대
공공기관 정보시스템 구축 경험 보유자 우대";;False;False;False;False;False;False;True;False;False;False

25;"-전자정부프레임워크 개발/유지관리
-Oralce 개발 가능자
-Java/Spring   개발 가능자
-정규직으로 장기 복무 가능자";응용소프트웨어개발자;JAVA프로그래밍언어전문가,범용응용소프트웨어프로그래머(ERP,정보처리,재무관리등);;정보처리기사(우대);;비희망;;;;;;False;True;False;False;False;True;True;False;False;False

26;"안녕하세요 소프트넷 경영지원실장 김승민입니다.
당사 시스템엔지니어 부문 경력사원을 아래와 같이 모집합니다
궁금하신 사항은 문의하시고 많은 지원 부탁드립니다.
모집부문 : 시스템엔지니어 부문
모집조건 : 아래 모집분야 3년이상 경력자 (필수)
모집자격 : 
- 마이크로소프트 Window 인프라 기술지원 (Server, DNS, WSUS, IIS, DHCP 등)
- Active Directory 기술지원 및 운영지원 
- System Center 제품군 (SCCM, SCOM, SCDPM, SCVMM) 기술지원 및 운영지원
- MS SQL 및 Exchange 기술지원 및 운영지원
- 가상화(Hyper-V) 및 클라우드(마이크로소프트 Azure,M365) 기술지원 
- MS 라이센스 보유자 우대(MCSE, MCP 등)
- 영업회화 가능자 우대";IT컨설턴트;;전자공학(학과:컴퓨터·정보통신공학전공);기타:MCSE,MCP,MS501등등마이크로소프트제품관련자격증우대;영어(중);비희망;;;;"- 관련 학과 전공자 우대
- 관련 학원 이수자 우대
- 관련 업종 경력자 우대
- 영어회화 가능자 
- 즉시 출근가능자 우대";;False;False;False;False;False;True;False;False;False;False

27;"[담당 서비스 개요, 부서, 근무환경]
글로벌 물류 분야 디지털 대 전환을 , 삶에 대한 철학이 있는 열정적 인재와 함께 하고자 합니다. 
대한민국은 수출입으로 생존하며, 수출입의 98%는 해상을 통해 이루어지고 있습니다.
저희 다이몬소프트는 해상 수출입 물류 분야 중 내륙 운송 부분에 최첨단 기술을 접목한 플랫폼(""트랜스허브"")을 개발하여 
수출입 관련 사용자들에게 웹과 앱을 통해 서비스로 제공하고 있습니다.
근무 부서는 플랫폼 서비스를 운영 & 개발하는 일을 기업부설 연구소에 소속되어 진행하게 됩니다. 
#자유로운 연차사용  #칼퇴근 #수평적인 조직문화
[함께 할 업무]
•  웹 과 앱으로 구성된 플랫폼 서비스에 대한 운영 및 개발
[자격요건]
• Java 웹 어플리케이션 개발 및 운영경력(전자정부 framework)
• Sping framework , Spring Boot 기반 개발가능 
• Html5, css3, javascript , Jquery, Ajax , JSON 개발가능 
• iBatis (Oracle) 개발가능 
• react.js 기반 모바일개발 경험자 
[우대조건]
•  수출입 운송 분야 서비스에 대한 개발 및 운영 경험이 있으면 더 좋아요
•  react.js 기반 모바일 앱 개발 경험이 있으면 따봉이에요~
[함께하면 받는 혜택 및 복지]
• 명절 상여금을 지급해요 ( 설날, 추석)
• 체력단련비도 지급해요 
• 각종 경조사비를 지급해요
• 생일 파티는 기본이쥬 
• 업무 성장을 위해 교육비를 지원해드려요
알아두기
• 허위 이력서 작성시 입사 취소될 수 있어요";웹개발자(웹엔지니어·웹프로그래머);;;정보처리기사(우대);;비희망;;;;;;False;True;False;False;False;True;True;True;True;False

28;"○ 공통 자격요건
ㆍ학력/성별 : 무관
ㆍ경력 : 신입/경력 (년수무관)
○ 모집분야
ㆍ프로젝트 매니저 / 프로젝트 리더
○ 사업분야
ㆍ인공지능 시스템 구축사업
○ 자격요건
ㆍ프로젝트 PM / PL 경험있으신 분
ㆍSW 아키텍처와 프로젝트 수행 방법론에 대한 이해도가 있으신 분
ㆍ원만한 커뮤니케이션 능력과 리더십이 있고 오래 함께 일할 수 있는 분
○ 우대사항
ㆍAI / Cloud / Big Data에 대한 PM/PL 경험있으신 분
ㆍ소프트웨어 기획, 개발, 구축 등 전 단계를 이해하고 있거나 경험하신 분
ㆍ데이터 분석가 혹은 데이터 사이언티스트
○ 복리후생
ㆍ모든 임직원 통신비 제공
ㆍ모든 임직원 중식 제공
ㆍ명절(설/추석) 선물 지급
ㆍ경조금 지원
ㆍ야근시 식대 지원
ㆍ출퇴근시간 유연근무제 시행
ㆍ자율적인 휴가 사용(연차, 반차 등)
  * 회사 성장에 따라 복리후생 추가 예정";컴퓨터시스템설계및분석가;산업특화응용소프트웨어프로그래머(국방,항공,교통,에너지,금융,자동차등),IT기술지원전문가;;관계없음;;비희망;;;;"ㆍAI / Cloud / Big Data에 대한 PM/PL 경험있으신 분
ㆍ소프트웨어 기획, 개발, 구축 등 전 단계를 이해하고 있거나 경험하신 분
ㆍ데이터 분석가 혹은 데이터 사이언티스트";;False;False;False;False;False;True;False;False;False;False

29;"- C++ , 비주얼베이직 등으로  HMI 관련 업무처리 경험자
 - window programmer,";시스템소프트웨어개발자;C언어및그외프로그래밍언어전문가,시스템소프트웨어개발자(프로그래머);전자공학(학과:전기전자메카트로닉스공학부)제어계측공학(학과:시스템제어공학부);자동차운전면허1종보통(필수);영어(중);비희망;;;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;False;False;False;False;True;False;False;False;False

30;"데브릭스는 고객의 요구사항에 맞는 커스터마이즈된 솔루션과 소프트웨어 개발,
네트워크 설계, 데이터베이스 관리 등 다양한 IT 서비스를 제공하는 회사입니다.
현재 구성원의 70%가 개발직군으로 구성되어 있으며, 함께 최신 트렌드와 
기술적 노하우를 바탕으로 최고의 IT 파트너로 성장할 우수한 인재를 모집합니다.
[주요업무]
• 전자정부 및 SpringFramework내 개발 
• Websquare UI 툴기반 개발 및 컨설팅
[AA,Developer]
• 전자정부 및 SpringFramework내 개발 경험이 있으신분
• java를 기본으로 기타 언어에 거부감이 없으신분
• 의욕과 더불어 대인관계가 좋으신 분
• 업무에 있어서는 책임감과 관계의 겸손을 철학으로 가지고 계신분계신분
[PM/PL]
• 공공분야 PM/PL경력 포함 10년이상 근무하신분
• 합리적인 사고와 커뮤니케이션 능력으로 업무에 매듭을 잘 지어주시는 분
• 업무처리에 있어, 일의 순서를 빠르게 정리하고 분배 및 작업이 가능하시는 분
• 지식을 바탕으로 자신감과 겸손을 미덕으로 알고 계신분
[컨설팅 중/고급]
• Websquare UI 툴기반 개발 및 컨설팅(공통) 가능자
• 개발 표준화 리딩에 관심있으신분
• 기술의 표준과 고도화에 적극적이신 분
• RPA/AI에 관심있으신분
• Bigdata/AI에 관심있으신분
• 개발자와의 커뮤니케이션이 능숙하신분";응용소프트웨어개발자;;;정보처리기사(우대);;비희망;;;;;;False;True;False;False;False;False;True;False;False;False

31;"광주은행 IT테스트전담반 모집합니다. 
경력 : 은행업무 5년경력 이상자
-근무처 : 광주은행 본점빌딩(광주광역시 동구 제봉로 225)
-근무시간 : 9:00~18:00
-월 급여 : 298만원(연차,상여,퇴직금별도)
-제출서류 : 이력서 A4 1장(양식은 따로없음),자기소개서
직원들과 원활한 소통이 가능한 분을 모십니다 ^^//
-문의처 : 이기주팀장 010-4628-0716
                
<유의사항>
